Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.4409E-16,-2.2204E-16,0.048737,0,0,0,0.17044,0.00026751,2.853E-06,1.6261E-19,0.00018159,-1.6849E-19,0.00023553,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF/meshes/base_link.STL,,shoulder-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
shoulder_link,-2.2204E-16,-1.1102E-16,0.0138,0,0,0,0.3293,0.0004168,2.853E-06,1.7944E-19,0.00033089,-1.7046E-19,0.00052827,0,0,0,0,0,0,package://URDF/meshes/shoulder_link.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF/meshes/shoulder_link.STL,,shoulder-1;base-1,shoulder_bottom,,shoulder_joint,revolute,0,0,0.015,0,0,0,base_link,0,0,0,0,0,-1.5,1.5,,,,,,,,
arm1,-0.00091076,0.027485,0.010381,0,0,0,0.24891,0.00042214,2.6815E-06,-7.3778E-09,0.00034139,-2.4407E-10,0.00024133,0,0,0,0,0,0,package://URDF/meshes/arm1.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF/meshes/arm1.STL,,link2-1/link1-1;shoulder-1;link2-1/link1-2,r_shoulder,l_shoulder_axis,arm_joint1,revolute,0.00091161,-0.027485,0.0485,0,0,0,shoulder_link,-0.033149,0.99945,0,0,0,1.5,-1.5,,,,,,,,
arm2,-0.00035169,0.010494,-0.02167,0,0,0,0.1177,0.00023194,-2.5729E-07,-1.1067E-08,0.00023969,-3.6611E-10,8.7032E-06,0,0,0,0,0,0,package://URDF/meshes/arm2.STL,0.69804,0.69804,0.69804,1,0,0,0,0,0,0,package://URDF/meshes/arm2.STL,,link1-2;link2-1/link1-1;link2-1/link1-2,link1,,elbow_joint,revolute,-0.00055406,0.016991,0.13,0,0,0,arm1,0,0,0,0,0,-1.5,1.5,,,,,,,,
